State,year,month,Coal,Solar,Total Generation,Wind
Andaman and Nicobar,2019,1,0.0,8.345,9.44,0.0
Andaman and Nicobar,2019,2,0.0,9.77,9.65,0.0
Andaman and Nicobar,2019,3,0.0,11.225,10.05,0.0
Andaman and Nicobar,2019,4,0.0,9.555000000000001,11.3,0.0
Andaman and Nicobar,2019,5,0.0,9.04,10.04,0.0
Andaman and Nicobar,2019,6,0.0,7.71,8.21,0.0
Andaman and Nicobar,2019,7,0.0,6.245,8.8,0.0
Andaman and Nicobar,2019,8,0.0,3.295,7.5,0.0
Andaman and Nicobar,2019,9,0.0,4.1499999999999995,7.51,0.0
Andaman and Nicobar,2019,10,0.0,4.8500000000000005,9.03,0.0
Andaman and Nicobar,2019,11,0.0,3.555,9.4,0.0
Andaman and Nicobar,2019,12,0.0,4.355,9.42,0.0
Andaman and Nicobar,2020,1,0.0,5.835,8.36,0.0
Andaman and Nicobar,2020,2,0.0,4.0,12.04,0.0
Andaman and Nicobar,2020,3,0.0,3.9250000000000003,12.31,0.0
Andaman and Nicobar,2020,4,0.0,4.03,11.95,0.0
Andaman and Nicobar,2020,5,0.0,4.28,12.19,0.0
Andaman and Nicobar,2020,6,0.0,4.55,12.49,0.0
Andaman and Nicobar,2020,7,0.0,5.945,13.24,0.0
Andaman and Nicobar,2020,8,0.0,5.68,14.17,0.0
Andaman and Nicobar,2020,9,0.0,20.48,22.82,0.0
Andaman and Nicobar,2020,10,0.0,8.625,8.9,0.0
Andaman and Nicobar,2020,11,0.0,3.64,24.04,0.0
Andaman and Nicobar,2020,12,0.0,12.254999999999999,8.74,0.0
Andaman and Nicobar,2021,1,0.0,13.16,8.76,0.0
Andaman and Nicobar,2021,2,0.0,11.360000000000001,8.97,0.0
Andaman and Nicobar,2021,3,0.0,13.525,11.73,0.0
Andaman and Nicobar,2021,4,0.0,13.95,9.8,0.0
Andaman and Nicobar,2021,5,0.0,9.9,8.79,0.0
Andaman and Nicobar,2021,6,0.0,10.655,9.34,0.0
Andaman and Nicobar,2021,7,0.0,6.17,10.28,0.0
Andaman and Nicobar,2021,8,0.0,7.275,10.14,0.0
Andaman and Nicobar,2021,9,0.0,7.295,10.11,0.0
Andaman and Nicobar,2021,10,0.0,5.93,18.6,0.0
Andaman and Nicobar,2021,11,0.0,8.24,12.88,0.0
Andaman and Nicobar,2021,12,0.0,10.405000000000001,11.46,0.0
Andaman and Nicobar,2022,1,0.0,5.25,21.94,0.0
Andaman and Nicobar,2022,2,0.0,9.455,10.52,0.0
Andaman and Nicobar,2022,3,0.0,7.1850000000000005,18.17,0.0
Andaman and Nicobar,2022,4,0.0,10.385,14.88,0.0
Andaman and Nicobar,2022,5,0.0,11.805000000000001,12.86,0.0
Andaman and Nicobar,2022,6,0.0,7.355,12.72,0.0
Andaman and Nicobar,2022,7,0.0,6.91,13.46,0.0
Andaman and Nicobar,2022,8,0.0,8.629999999999999,12.37,0.0
Andaman and Nicobar,2022,9,0.0,10.450000000000001,10.23,0.0
Andaman and Nicobar,2022,10,0.0,3.65,29.44,0.0
Andaman and Nicobar,2022,11,0.0,4.15,28.29,0.0
Andaman and Nicobar,2022,12,0.0,3.375,30.05,0.0
Andaman and Nicobar,2023,1,0.0,4.26,29.08,0.0
Andaman and Nicobar,2023,2,0.0,4.47,27.7,0.0
Andaman and Nicobar,2023,3,0.0,5.255,31.37,0.0
Andaman and Nicobar,2023,4,0.0,5.640000000000001,33.17,0.0
Andaman and Nicobar,2023,5,0.0,5.685,33.62,0.0
Andaman and Nicobar,2023,6,0.0,4.05,29.6,0.0
Andaman and Nicobar,2023,7,0.0,3.59,29.13,0.0
Andaman and Nicobar,2023,8,0.0,3.895,31.33,0.0
Andaman and Nicobar,2023,9,0.0,2.48,27.83,0.0
Andaman and Nicobar,2023,10,0.0,3.21,30.74,0.0
Andaman and Nicobar,2023,11,0.0,3.9749999999999996,31.38,0.0
Andaman and Nicobar,2023,12,0.0,5.225,33.3,0.0
Andaman and Nicobar,2024,1,0.0,5.824999999999999,32.7,0.0
Andaman and Nicobar,2024,2,0.0,6.23,31.3,0.0
Andaman and Nicobar,2024,3,0.0,7.49,31.18,0.0
Andaman and Nicobar,2024,4,0.0,5.55,38.23,0.0
Andaman and Nicobar,2024,5,0.0,3.895,36.66,0.0
Andaman and Nicobar,2024,6,0.0,3.485,31.58,0.0
Andaman and Nicobar,2024,7,0.0,3.6300000000000003,33.44,0.0
Andaman and Nicobar,2024,8,0.0,3.5250000000000004,33.5,0.0
Andaman and Nicobar,2024,9,0.0,3.2600000000000002,32.99,0.0
Andaman and Nicobar,2024,10,0.0,4.06,33.33,0.0
Andaman and Nicobar,2024,11,0.0,4.0249999999999995,33.72,0.0
Andaman and Nicobar,2024,12,0.0,3.8499999999999996,35.8,0.0
Andaman and Nicobar,2025,1,0.0,3.385,33.82,0.0
Andaman and Nicobar,2025,2,0.0,4.01,31.46,0.0
Andaman and Nicobar,2025,3,0.0,5.085,38.64,0.0
Andaman and Nicobar,2025,4,0.0,2.9,35.7,0.0
Andaman and Nicobar,2025,5,0.0,2.5300000000000002,35.68,0.0
Andaman and Nicobar,2025,6,0.0,2.02,32.92,0.0
Andaman and Nicobar,2025,7,0.0,2.67,34.41,0.0
Andaman and Nicobar,2025,8,0.0,3.02,31.63,0.0
Andaman and Nicobar,2025,9,0.0,2.675,30.51,0.0
Andhra Pradesh,2019,1,2094.33,201.04999999999998,5436.99,187.265
Andhra Pradesh,2019,2,1976.065,219.82,5294.01,243.76500000000001
Andhra Pradesh,2019,3,2898.49,300.71,7258.41,218.43
Andhra Pradesh,2019,4,2723.085,277.86,6758.65,203.68
Andhra Pradesh,2019,5,2791.355,293.84000000000003,7151.49,345.74
Andhra Pradesh,2019,6,2562.14,269.91,7122.25,574.73
Andhra Pradesh,2019,7,2659.5899999999997,228.67999999999998,7573.23,747.145
Andhra Pradesh,2019,8,2491.705,214.66,7557.36,783.615
Andhra Pradesh,2019,9,2348.525,204.99,6469.06,363.85
Andhra Pradesh,2019,10,1981.995,177.95,5153.67,85.06
Andhra Pradesh,2019,11,1918.865,235.36499999999998,5084.47,137.65
Andhra Pradesh,2019,12,2337.0699999999997,191.035,5668.06,123.14500000000001
Andhra Pradesh,2020,1,2548.695,257.255,6263.44,110.405
Andhra Pradesh,2020,2,2438.575,294.15500000000003,6377.45,186.75
Andhra Pradesh,2020,3,2101.92,328.02500000000003,5752.7,207.325
Andhra Pradesh,2020,4,1535.0649999999998,307.4,4534.98,196.10999999999999
Andhra Pradesh,2020,5,1607.275,342.155,4908.14,281.65
Andhra Pradesh,2020,6,1804.44,264.6,5395.56,453.83
Andhra Pradesh,2020,7,1639.13,269.41,4982.63,363.07
Andhra Pradesh,2020,8,1750.55,250.55,5767.3,601.315
Andhra Pradesh,2020,9,1849.895,243.97,5592.65,301.43
Andhra Pradesh,2020,10,1784.3000000000002,260.53999999999996,5282.29,188.635
Andhra Pradesh,2020,11,1628.97,243.685,4583.83,160.89000000000001
Andhra Pradesh,2020,12,1866.585,283.2,5119.4,199.23
Andhra Pradesh,2021,1,2543.36,323.19,6491.96,180.015
Andhra Pradesh,2021,2,2504.665,349.945,6493.94,185.89
Andhra Pradesh,2021,3,2969.4300000000003,402.35499999999996,7730.2,226.805
Andhra Pradesh,2021,4,2462.0950000000003,376.09,6421.18,184.265
Andhra Pradesh,2021,5,1946.915,375.835,5512.8,314.13000000000005
Andhra Pradesh,2021,6,1908.72,371.57,6040.72,608.9399999999999
Andhra Pradesh,2021,7,2481.77,277.18499999999995,6996.59,561.5649999999999
Andhra Pradesh,2021,8,2492.5649999999996,306.25,7233.75,527.955
Andhra Pradesh,2021,9,2090.9900000000002,309.22999999999996,6374.68,499.27
Andhra Pradesh,2021,10,2223.9249999999997,321.455,6084.92,99.295
Andhra Pradesh,2021,11,1802.3600000000001,209.675,4734.28,139.48499999999999
Andhra Pradesh,2021,12,1982.405,321.97,5224.79,151.08
Andhra Pradesh,2022,1,2367.605,351.215,6060.05,164.245
Andhra Pradesh,2022,2,2495.78,371.915,6360.24,176.98000000000002
Andhra Pradesh,2022,3,2839.705,387.605,7153.49,196.68
Andhra Pradesh,2022,4,2965.58,398.48999999999995,7372.42,183.14999999999998
Andhra Pradesh,2022,5,2756.94,341.39500000000004,7331.35,476.085
Andhra Pradesh,2022,6,2311.195,360.96500000000003,6475.13,506.705
Andhra Pradesh,2022,7,2328.785,289.845,6948.45,697.89
Andhra Pradesh,2022,8,2530.1749999999997,323.97,7464.17,538.46
Andhra Pradesh,2022,9,2488.54,315.50500000000005,7056.76,375.81
Andhra Pradesh,2022,10,2151.2,322.53000000000003,5862.28,139.17000000000002
Andhra Pradesh,2022,11,2337.1349999999998,291.475,5874.44,105.46
Andhra Pradesh,2022,12,2601.3050000000003,313.40000000000003,6355.37,164.32999999999998
Andhra Pradesh,2023,1,2646.07,392.435,6699.17,207.29500000000002
Andhra Pradesh,2023,2,2772.5,382.97,6809.24,155.175
Andhra Pradesh,2023,3,3024.32,397.325,7452.64,217.35
Andhra Pradesh,2023,4,3087.8199999999997,405.485,7424.91,185.38
Andhra Pradesh,2023,5,3173.345,389.15500000000003,7723.63,265.52
Andhra Pradesh,2023,6,3156.145,346.125,8330.55,635.145
Andhra Pradesh,2023,7,2796.15,272.48499999999996,8074.32,933.245
Andhra Pradesh,2023,8,2965.355,352.59000000000003,7871.3,573.7700000000001
Andhra Pradesh,2023,9,2952.415,318.365,7625.55,515.025
Andhra Pradesh,2023,10,3261.875,370.16499999999996,7668.36,168.73
Andhra Pradesh,2023,11,2696.68,287.35,6395.86,184.3
Andhra Pradesh,2023,12,2493.2599999999998,294.03,6080.13,214.79999999999998
Andhra Pradesh,2024,1,3097.59,351.215,7474.92,244.17
Andhra Pradesh,2024,2,3034.395,417.52,7376.38,242.94
Andhra Pradesh,2024,3,3381.13,400.98,8035.41,215.25
Andhra Pradesh,2024,4,3474.26,400.54999999999995,8280.23,213.92000000000002
Andhra Pradesh,2024,5,3464.315,373.57,8348.22,310.33500000000004
Andhra Pradesh,2024,6,3111.545,314.455,7960.97,545.805
Andhra Pradesh,2024,7,2600.645,294.6,7038.44,546.6949999999999
Andhra Pradesh,2024,8,2780.19,311.305,7818.74,535.56
Andhra Pradesh,2024,9,2732.8599999999997,318.83500000000004,7672.3,531.1
Andhra Pradesh,2024,10,3052.82,313.545,7506.5,104.8
Andhra Pradesh,2024,11,2849.9449999999997,283.88,6703.02,113.74
Andhra Pradesh,2024,12,2724.51,261.505,6424.13,152.03
Andhra Pradesh,2025,1,3149.8849999999998,361.93,7637.87,215.785
Andhra Pradesh,2025,2,3288.815,384.0,7909.41,199.82
Andhra Pradesh,2025,3,3661.2599999999998,430.45000000000005,8772.46,195.05499999999998
Andhra Pradesh,2025,4,3451.07,418.42,8299.84,195.17999999999998
