state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,Coal,Solar,Total Generation,Wind
Andhra Pradesh,2024,1,30.786774193548386,18.92,74.10064516129032,0.37,3097.59,351.215,7474.92,244.17
Andhra Pradesh,2024,2,35.63620689655173,20.940344827586205,63.43931034482759,0.0,3034.395,417.52,7376.38,242.94
Andhra Pradesh,2024,3,39.17451612903226,24.02290322580645,55.77967741935484,1.04,3381.13,400.98,8035.41,215.25
Andhra Pradesh,2024,4,42.95633333333333,26.50766666666667,51.282,0.16,3474.26,400.55,8280.23,213.92
Andhra Pradesh,2024,5,39.43709677419355,27.897096774193543,63.36741935483871,102.89,3464.315,373.57,8348.22,310.33500000000004
Andhra Pradesh,2024,6,34.568333333333335,26.50333333333333,71.876,189.55,3111.545,314.455,7960.97,545.805
Andhra Pradesh,2024,7,32.44709677419355,25.311290322580643,79.05193548387098,262.5,2600.645,294.6,7038.44,546.6949999999999
Andhra Pradesh,2024,8,31.47258064516129,25.59774193548387,85.15903225806451,282.02,2780.19,311.305,7818.74,535.56
Andhra Pradesh,2024,9,30.705,24.606,87.114,198.35,2732.86,318.83500000000004,7672.3,531.1
Andhra Pradesh,2024,10,30.585806451612903,24.331612903225807,87.29903225806451,144.79,3052.82,313.545,7506.5,104.8
Andhra Pradesh,2024,11,29.344,20.96966666666667,83.95133333333334,14.84,2849.945,283.88,6703.02,113.74
Andhra Pradesh,2024,12,30.19935483870968,20.6883870967742,80.71354838709676,18.93,2724.51,261.505,6424.13,152.03
Andhra Pradesh,2025,1,31.45,19.48,74.06,0.0,3149.885,361.93,7637.87,215.785
Arunachal Pradesh,2024,1,20.411290322580644,9.848709677419356,70.13741935483871,3.98,0.0,0.11,148.77,0.0
Arunachal Pradesh,2024,2,21.631724137931037,11.228620689655171,67.27275862068966,36.14,0.0,0.075,150.0,0.0
Arunachal Pradesh,2024,3,26.301290322580645,15.126129032258063,63.38677419354839,89.94,0.0,0.055,226.88,0.0
Arunachal Pradesh,2024,4,30.645666666666667,19.35833333333333,63.884,115.02,0.0,0.065,237.47,0.0
Arunachal Pradesh,2024,5,31.47967741935484,21.92838709677419,68.83387096774193,216.71,0.0,0.065,329.09,0.0
Arunachal Pradesh,2024,6,30.875333333333334,24.361,83.66266666666667,503.38,0.0,0.0349999999999999,523.65,0.0
