state,year,month,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR
Andhra Pradesh,2024,1,30.786774193548386,18.919999999999998,74.10064516129032,0.37
Andhra Pradesh,2024,2,35.63620689655173,20.940344827586205,63.43931034482759,0.0
Andhra Pradesh,2024,3,39.17451612903226,24.022903225806452,55.77967741935484,1.04
Andhra Pradesh,2024,4,42.95633333333333,26.50766666666667,51.282000000000004,0.16
Andhra Pradesh,2024,5,39.43709677419355,27.897096774193546,63.36741935483871,102.89
Andhra Pradesh,2024,6,34.568333333333335,26.503333333333334,71.876,189.55
Andhra Pradesh,2024,7,32.44709677419355,25.311290322580643,79.05193548387098,262.5
Andhra Pradesh,2024,8,31.47258064516129,25.59774193548387,85.15903225806451,282.02
Andhra Pradesh,2024,9,30.705,24.605999999999998,87.114,198.35
Andhra Pradesh,2024,10,30.585806451612903,24.331612903225807,87.29903225806451,144.79
Andhra Pradesh,2024,11,29.344,20.96966666666667,83.95133333333334,14.84
Andhra Pradesh,2024,12,30.199354838709677,20.688387096774196,80.71354838709676,18.93
Andhra Pradesh,2025,1,31.45,19.48,74.06,0.0
Arunachal Pradesh,2024,1,20.411290322580644,9.848709677419356,70.13741935483871,3.98
Arunachal Pradesh,2024,2,21.631724137931034,11.228620689655171,67.27275862068966,36.14
Arunachal Pradesh,2024,3,26.301290322580645,15.126129032258065,63.38677419354839,89.94
Arunachal Pradesh,2024,4,30.645666666666667,19.358333333333334,63.884,115.02
Arunachal Pradesh,2024,5,31.47967741935484,21.92838709677419,68.83387096774193,216.70999999999998
Arunachal Pradesh,2024,6,30.875333333333334,24.361,83.66266666666667,503.38
Arunachal Pradesh,2024,7,30.993225806451612,25.00258064516129,84.74,441.58
Arunachal Pradesh,2024,8,30.909032258064517,24.51451612903226,84.26677419354839,352.6
Arunachal Pradesh,2024,9,31.354333333333333,24.698,79.92133333333332,170.57
Arunachal Pradesh,2024,10,27.031935483870967,20.318064516129034,85.47419354838709,211.1
Arunachal Pradesh,2024,11,24.180333333333333,15.779,80.30566666666667,3.3
Arunachal Pradesh,2024,12,20.483548387096775,10.634193548387097,77.04387096774194,0.5800000000000001
Arunachal Pradesh,2025,1,20.32,11.29,77.46,0.0
Assam,2024,1,21.754516129032258,9.438387096774193,76.0125806451613,2.94
Assam,2024,2,24.056206896551725,10.79551724137931,68.25655172413794,13.740000000000002
Assam,2024,3,28.850967741935484,14.953548387096774,61.774193548387096,108.45
Assam,2024,4,33.815666666666665,19.96466666666667,59.247,63.29
Assam,2024,5,33.54064516129032,22.25032258064516,70.16290322580646,389.38
Assam,2024,6,33.114333333333335,24.416999999999998,81.10066666666667,606.92
Assam,2024,7,33.53193548387097,25.24967741935484,83.07354838709678,350.02
Assam,2024,8,32.0841935483871,24.25032258064516,84.67483870967742,338.15
Assam,2024,9,32.71333333333333,24.086333333333336,82.43666666666667,140.2
Assam,2024,10,29.273225806451613,20.758387096774193,85.5209677419355,169.6
Assam,2024,11,26.259333333333334,15.520000000000001,81.43866666666666,1.48
Assam,2024,12,22.441290322580645,10.359354838709677,80.07032258064515,0.08
Assam,2025,1,21.43,10.39,84.32,0.0
Bihar,2024,1,23.364193548387096,8.994193548387097,53.50645161290323,0.71
Bihar,2024,2,27.905862068965515,12.352758620689656,43.937586206896555,17.3
Bihar,2024,3,34.15903225806452,17.25741935483871,35.99903225806452,23.15
Bihar,2024,4,41.86266666666667,25.350666666666665,20.763333333333332,1.39
Bihar,2024,5,41.30193548387096,27.806129032258063,35.111612903225804,44.61
Bihar,2024,6,43.47366666666667,31.615666666666666,37.57966666666667,58.35
Bihar,2024,7,35.88967741935484,28.288387096774194,73.25322580645161,187.67000000000002
Bihar,2024,8,32.80935483870968,26.618709677419357,83.21000000000001,240.23000000000002
Bihar,2024,9,32.135666666666665,25.884666666666664,85.04066666666667,159.44
Bihar,2024,10,32.50677419354839,22.978709677419356,76.13193548387098,6.46
